Model,no_grad_cuda_time,inference_mode_cuda_time,cuda_time_diff_%,no_grad_cpu_time,inference_mode_cpu_time,cpu_time_diff_%,no_grad_memory_MB,inference_mode_memory_MB,memory_diff_%,no_grad_wall_time_ms,inference_mode_wall_time_ms,wall_time_diff_%
EfficientNet-B0,377126.39382,377101.9575400001,-0.006479599518979944,91967.76426000001,92084.39496,0.1268169351929337,0.1220703125,0.1220703125,0.0,81.88047885894775,82.19132900238037,0.37963889288935837
MobileNetV3-Small,87826.30772,87804.37595999998,-0.024971743170556816,36113.06724,36202.56864,0.24783660552894377,0.1220703125,0.1220703125,0.0,27.685623168945312,27.856740951538086,0.6180745202972886
ResNet50,1006342.34518,1005473.3827,-0.08634859540215015,179098.77398000003,178651.6846,-0.24963285346104375,0.1220703125,0.1220703125,0.0,169.17894840240479,168.82661819458008,-0.20825889459168537
ViT-B/16,4537359.853259999,4538414.9224000005,0.02325293064959692,872713.5793999999,872462.4830400001,-0.028771909355699708,0.1220703125,0.1220703125,0.0,865.8488988876343,865.7714939117432,-0.00893977875245806
